Sr.,Date,Time,Pick up location,drop off location,Yango Economy,Yango Comfort,Yango Bike,Distance (km),Indrive Economy,Indrive Comfort,Indrive Bike,weather
1,24-11-23,18:45:00,Anabias lawn E11/4,Al sahib Heights e/11,293,366,100,5.3,320,470,133,normal
2,24-11-23,18:47:00,Luxury boys hostel E/11,F8 MARKAZ,320,451,130,10,361,528,151,normal
3,24-11-23,18:50:00,Royal apartment e 11,air uni e/8,344,458,141,7.1,367,537,154,normal
4,24-11-23,19:05:00,Obortunity consulting i/10,bahria uni e/8,371,497,157,7.7,386,564,163,normal
5,24-11-23,19:07:00,Madina dry cleaner e/11,khayaban e iqbal f/6,246,340,90,8.1,373,546,154,normal
6,24-11-23,19:10:00,Harveys guest house e/11,g9 markaz,418,510,185,8.7,418,608,177,normal
7,24-11-23,19:16:00,Aliyan pet clinic e/11,NUML G 3,550,610,206,13,573,827,245,normal
8,24-11-23,19:20:00,awan guest house e/11,ibn e sina metro g/9,390,402,167,8.8,421,613,178,normal
9,24-11-23,19:22:00,Beds and breakfast e/11,g11,260,324,103,5.8,411,599,173,normal
10,24-11-23,19:28:00,crown apaetment e/11,f8 markaz,411,491,166,6.4,480,530,200,normal
11,25-11-23,19:35:00,BLACK ROCK CAfe e/11,g9 bus stop,380,446,166,8.5,408,594,172,normal
12,26-11-23,21:42:00,awan guest house e/11,g9 bus stop,307,377,135,9.6,421,589,178,normal
13,26-11-23,23:04:00,E 11/3 MARKAZ,HOT N SPICE e/11,199,222,98,4.3,262,290,80,normal
14,26-11-23,15:16:00,Rawal Kings Cricket Club & Academy Islamabad,"Malang Jan Bannu Beef Pulao and Restaurant F-10 Markaz F 10/3 F-10, Islamabad",409,510,191,14.6,604,869,259,normal
15,26-11-23,15:39:00,Rawal Kings Cricket Club & Academy Islamabad,rohi estates and builders i/14,265,360,114,8.6,415,603,175,normal
16,26-11-23,15:47:00,Rawal Kings Cricket Club & Academy Islamabad,IJP metro bus station i/8,246,328,106,8.2,402,585,170,normal
17,26-11-23,15:57:00,Rawal Kings Cricket Club & Academy Islamabad,chamman metro bus station G-9/4,337,433,158,10.4,471,682,200,normal
18,26-11-23,16:11:00,Rawal Kings Cricket Club & Academy Islamabad,"Quetta Darbar Cafe Street 85, G-13/1 G 13/1 G-13, Islamabad",387,590,175,10.5,475,687,202,normal
19,26-11-23,16:19:00,D Watson I-10 Markaz,"Quetta Darbar Cafe Street 85, G-13/1 G 13/1 G-13, Islamabad",343,428,157,10,459,665,195,normal
20,26-11-23,16:25:00,BAIT UL MOHSINAAT GIRLS HOSTEL ISLAMABAD i-9/1,"Quetta Darbar Cafe Street 85, G-13/1 G 13/1 G-13, Islamabad",406,484,175,11.4,503,727,214,normal
21,26-11-23,16:31:00,Malang Jan Bannu Beef Pulao G-9,chamman metro bus station G-9/4,179,201,58,1.8,200,300,80,normal
22,26-11-23,16:37:00,Malang Jan Bannu Beef Pulao G-9,Faiz Ahmed Faiz Metro bus station H-8,439,44,84,4,266,393,109,normal
23,26-11-23,16:59:00,Malang Jan Bannu Beef Pulao G-9,Air uiversity e/9,292,295,92,3.9,266,394,109,normal
24,26-11-23,17:47:00,Malang Jan Bannu Beef Pulao G-9,"New Boys Hostel Street 18, I-14/3 I-14, Islamabad",652,659,241,14.9,610,882,262,normal
25,26-11-23,17:51:00,"New Boys Hostel Street 18, I-14/3 I-14, Islamabad", malang jaan bannu beef pulao g/9,923,932,240,15.5,633,912,272,normal
26,26-11-23,17:59:00,"New Boys Hostel Street 18, I-14/3 I-14, Islamabad",Ayub Market f7 markaz,771,778,250,19.3,753,1081,325,normal
27,26-11-23,18:00:00,"New Boys Hostel Street 18, I-14/3 I-14, Islamabad",play ground G-11/3,525,530,190,11.8,560,809,240,normal
28,26-11-23,18:03:00,"New Boys Hostel Street 18, I-14/3 I-14, Islamabad","Soft Swirl F-10 Markaz F 10/3 F-10, Islamabad",589,752,200,15.8,629,908,270,normal
29,26-11-23,18:05:00,"New Boys Hostel Street 18, I-14/3 I-14, Islamabad",Riphah International University i-14,139,250,70,1.2,181,290,80,normal
30,26-11-23,18:10:00,"New Boys Hostel Street 18, I-14/3 I-14, Islamabad","Bahria University Shangrilla Road, E-8/1 E 8/1 E-8, Islamabad",709,766,270,19.1,737,1057,318,normal
31,26-11-23,18:13:00,"New Boys Hostel Street 18, I-14/3 I-14, Islamabad",Tehseen Plaza i/8,486,606,200,14,588,821,252,normal
32,26-11-23,18:21:00,Tehseen Plaza i/8,"Rumi Hostel H-12, Islamabad",384,479,187,11.7,519,749,221,normal
33,26-11-23,18:35:00,Tehseen Plaza i/8,"Quetta Darbar Cafe Street 85, G-13/1 G 13/1 G-13, Islamabad",426,531,232,13.4,566,815,242,normal
34,27-11-23,0:50:00,Air University e/9,Sarai Silk Route Islamabad e/11,380,550,143,7,408,593,172,normal
35,27-11-23,0:02:00,Air University e/9,The Grill burger f/7,318,321,110,3.8,269,397,111,normal
36,27-11-23,0:11:00,Air University e/9,La Cucina e/11,301,337,101,6.2,320,380,160,normal
37,27-11-23,0:18:00,Air University e/9,Black Rock Cafe e/11,370,411,136,6.6,361,527,151,normal
38,27-11-23,0:23:00,Air University e/9,Kashmir Residency Boys Hostel e/11,400,445,142,6.9,370,541,156,normal
39,27-11-23,0:29:00,Air University e/9,SK Residence e/11,360,530,174,7,373,545,180,normal
40,27-11-23,0:34:00,Air University e/9,Coyote Den Travelers Hostel Islamabad e/11    ,346,413,139,6.8,367,536,154,normal
